Timestamp,Local,"Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Acceso y calidad de la educación pública]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Acceso y calidad de la vivienda]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Ampliar el acceso al agua]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Cuidado del medio ambiente y recursos naturales]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Deuda universitaria (CAE y otros)]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Mejorar la calidad de la salud pública y su financiamiento]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Mejorar las pensiones y dignificar la vida de los adultos mayores]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir costos de los servicios básicos (agua, electricidad, etc.)]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir la desigualdad de ingresos]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir la impunidad y la delincuencia]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Transporte público (calidad, acceso y precio)]"
16/12/2019 17:50:43,Lo Velásquez,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Imp.
16/12/2019 17:51:21,Lo Velásquez,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Imp.,Muy imp.
16/12/2019 17:51:54,Lo Velásquez,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 17:54:05,Lo Velásquez,Muy imp.,Muy imp.,Muy imp.,Imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Imp.,Muy imp.
16/12/2019 17:58:33,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Muy imp.
16/12/2019 17:58:41,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,,Extremadamente imp.
16/12/2019 17:58:58,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 17:59:26,Lo Velásquez,Extremadamente imp.,,,,,Extremadamente imp.,,Extremadamente imp.,,,
16/12/2019 17:59:49,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Imp.,Extremadamente imp.,Muy imp.,Medianamente imp.,Medianamente imp.,Medianamente imp.,Muy imp.
16/12/2019 17:59:51,Lo Velásquez,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Imp.,Imp.,Imp.,Extremadamente imp.
16/12/2019 18:00:34,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Imp.
16/12/2019 18:00:35,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Medianamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Imp.,Medianamente imp.
16/12/2019 18:01:20,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:01:31,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.
16/12/2019 18:01:33,Lo Velásquez,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:02:41,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:02:53,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:03:01,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:03:19,Lo Velásquez,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:03:30,Lo Velásquez,Muy imp.,Extremadamente imp.,Medianamente imp.,Muy imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:03:34,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:03:46,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.
16/12/2019 18:03:56,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:04:24,Lo Velásquez,Muy imp.,Muy imp.,Extremadamente imp.,,,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:04:25,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:04:38,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:04:43,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:04:52,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:05:02,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:05:15,Lo Velásquez,Extremadamente imp.,Imp.,Muy imp.,Muy imp.,Imp.,Imp.,Extremadamente imp.,Medianamente imp.,Muy imp.,Extremadamente imp.,Imp.
16/12/2019 18:05:40,Lo Velásquez,Muy imp.,Extremadamente imp.,Imp.,,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Imp.,Imp.
16/12/2019 18:05:42,Lo Velásquez,Imp.,Muy imp.,Extremadamente imp.,Muy imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Extremadamente imp.,Medianamente imp.
16/12/2019 18:06:05,Lo Velásquez,Muy imp.,Imp.,Extremadamente imp.,,Extremadamente imp.,,Extremadamente imp.,,,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:06:09,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:06:43,Lo Velásquez,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:06:44,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.
16/12/2019 18:07:00,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:07:00,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.
16/12/2019 18:07:19,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:07:27,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Imp.
16/12/2019 18:08:00,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.
16/12/2019 18:08:26,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,No es imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.
16/12/2019 18:08:30,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:08:40,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:08:51,Lo Velásquez,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:08:54,Lo Velásquez,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:09:24,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:09:28,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:09:52,Lo Velásquez,Extremadamente imp.,,,,Extremadamente imp.,,Extremadamente imp.,,,,
16/12/2019 18:10:17,Lo Velásquez,Extremadamente imp.,Imp.,Muy imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Imp.,Extremadamente imp.
16/12/2019 18:11:28,Lo Velásquez,Muy imp.,Muy imp.,,Imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,,Extremadamente imp.,Muy imp.
16/12/2019 18:11:59,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:12:06,Lo Velásquez,Imp.,,,,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Imp.,Imp.,Imp.
16/12/2019 18:12:36,Lo Velásquez,Extremadamente imp.,Imp.,Imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Medianamente imp.
16/12/2019 18:12:36,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Imp.
16/12/2019 18:12:41,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Muy imp.,Imp.
16/12/2019 18:12:55,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:13:08,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:13:16,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:13:25,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:13:33,Lo Velásquez,Muy imp.,Muy imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Imp.,Muy imp.,Imp.
16/12/2019 18:13:36,Lo Velásquez,Extremadamente imp.,Muy imp.,Imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Muy imp.,Imp.
16/12/2019 18:13:58,Lo Velásquez,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Imp.,Extremadamente imp.,Imp.,Imp.
16/12/2019 18:13:51,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Imp.
16/12/2019 18:14:08,Lo Velásquez,Imp.,Imp.,Muy imp.,Imp.,,Muy imp.,Imp.,,Imp.,Imp.,Imp.
16/12/2019 18:14:21,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:14:39,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:14:39,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:14:42,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Muy imp.,Extremadamente imp.
16/12/2019 18:15:09,Lo Velásquez,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,No es imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.
16/12/2019 18:15:09,Lo Velásquez,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Muy imp.
16/12/2019 18:15:26,Lo Velásquez,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:15:27,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.
16/12/2019 18:15:27,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:15:39,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:15:47,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:16:00,Lo Velásquez,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:16:15,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Imp.,,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:16:16,Lo Velásquez,Muy imp.,Imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.
16/12/2019 18:16:40,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,No es imp.,Imp.,Imp.
16/12/2019 18:16:46,Lo Velásquez,Extremadamente imp.,Imp.,Muy imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:17:00,Lo Velásquez,Muy imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Medianamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.
16/12/2019 18:17:00,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:17:08,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.
16/12/2019 18:17:18,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.
16/12/2019 18:17:19,Lo Velásquez,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:17:54,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Medianamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:18:25,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:18:27,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:18:50,Lo Velásquez,Muy imp.,,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Muy imp.
16/12/2019 18:18:51,Lo Velásquez,Muy imp.,Imp.,Imp.,Extremadamente imp.,Imp.,Extremadamente imp.,,,Muy imp.,Muy imp.,Medianamente imp.
16/12/2019 18:19:11,Lo Velásquez,Muy imp.,Imp.,Imp.,Medianamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Imp.,Muy imp.
16/12/2019 18:20:04,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:20:32,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,,,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:20:38,Lo Velásquez,Imp.,Muy imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Medianamente imp.,Imp.,Muy imp.
16/12/2019 18:20:43,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:20:51,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:21:06,Lo Velásquez,Extremadamente imp.,Medianamente imp.,Extremadamente imp.,Extremadamente imp.,,Extremadamente imp.,Extremadamente imp.,Muy imp.,Imp.,Muy imp.,Muy imp.
16/12/2019 18:21:08,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:21:23,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:21:25,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:21:58,Lo Velásquez,Muy imp.,Muy imp.,Imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:22:00,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Imp.,Medianamente imp.
16/12/2019 18:22:16,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:22:22,Lo Velásquez,Muy imp.,Extremadamente imp.,Muy imp.,,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.
16/12/2019 18:22:37,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Imp.
16/12/2019 18:22:43,Lo Velásquez,Muy imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:22:46,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Muy imp.,Poco imp.
16/12/2019 18:22:54,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:23:02,Lo Velásquez,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:23:12,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 18:23:17,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 18:23:23,Lo Velásquez,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Muy imp.
16/12/2019 18:23:27,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Muy imp.,Extremadamente imp.
16/12/2019 18:23:33,Lo Velásquez,Imp.,Imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:23:46,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 18:23:48,Lo Velásquez,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Medianamente imp.,Imp.
